wl,n
0.3600,1.6335622848222
0.3719,1.6307990749137
0.3838,1.6283183095506
0.3957,1.6260807309455
0.4076,1.6240539727011
0.4195,1.6222110823733
0.4314,1.620529418018
0.4433,1.6189898105808
0.4552,1.6175759186722
0.4671,1.616273724901
0.4790,1.6150711379833
0.4909,1.6139576750085
0.5028,1.6129242052451
0.5147,1.6119627417482
0.5266,1.6110662705044
0.5385,1.6102286093415
0.5504,1.6094442906521
0.5623,1.6087084633278
0.5742,1.6080168103032
0.5861,1.6073654788749
0.5980,1.6067510215379
0.6099,1.6061703455331
0.6218,1.6056206696477
0.6337,1.6050994870849
0.6456,1.6046045334353
0.6575,1.6041337589568
0.6694,1.6036853045054
0.6813,1.6032574805744
0.6932,1.6028487489862
0.7051,1.6024577068599
0.7170,1.6020830725324
0.7289,1.6017236731664
0.7408,1.6013784338156
0.7527,1.6010463677548
0.7646,1.6007265679089
0.7765,1.6004181992404
0.7884,1.6001204919745
0.8003,1.599832735557
0.8122,1.5995542732572
0.8241,1.5992844973364
0.8360,1.5990228447159
0.8479,1.5987687930864
0.8598,1.5985218574077
0.8717,1.5982815867545
0.8836,1.5980475614704
0.8955,1.5978193905945
0.9074,1.5975967095328
0.9193,1.5973791779478
0.9312,1.5971664778417
0.9431,1.5969583118155
0.9550,1.5967544014835
0.9669,1.5965544860299
0.9788,1.59635832089
0.9907,1.5961656765478
1.003,1.5959700280901
1.015,1.5957823408937
1.026,1.5956128932027
1.038,1.5954307049515
1.050,1.5952511276724
1.062,1.5950739977285
1.074,1.5948991608155
1.086,1.5947264713282
1.098,1.5945557917768
1.110,1.5943869922477
1.122,1.5942199499065
1.134,1.5940545485383
1.145,1.5939042780968
1.157,1.593741719365
1.169,1.5935804966148
1.181,1.5934205157481
1.193,1.5932616874758
1.205,1.593103927025
1.217,1.5929471538663
1.229,1.5927912914601
1.241,1.5926362670206
1.253,1.5924820112959
1.264,1.5923412291502
1.276,1.5921882652147
1.288,1.5920358863363
1.300,1.5918840352545
1.312,1.5917326573579
1.324,1.5915817005374
1.336,1.5914311150493
1.348,1.5912808533863
1.360,1.5911308701573
1.372,1.5909811219742
1.383,1.5908440238195
1.395,1.5906946117062
1.407,1.5905453185693
1.419,1.5903961079052
1.431,1.5902469447507
1.443,1.5900977956051
1.455,1.5899486283567
1.467,1.5897994122136
1.479,1.589650117638
1.491,1.5895007162855
1.502,1.5893636479867
1.514,1.5892139668469
1.526,1.5890641025436
1.538,1.5889140308755
1.550,1.5887637285787

wl,k
0.290,1.0022E-05
0.300,4.7281E-06
0.310,2.4461E-06
0.320,1.3784E-06
0.330,7.4499E-07
0.340,4.5248E-07
0.350,2.4741E-07
0.360,1.6813E-07
0.370,1.0795E-07
0.380,7.9663E-08
0.390,7.2215E-08
0.400,6.1061E-08
0.420,6.0709E-08
0.440,6.3599E-08
0.460,5.5324E-08
0.480,5.7730E-08
0.500,4.8035E-08
0.550,3.9569E-08
0.600,3.8351E-08
0.650,4.1547E-08
0.700,2.7922E-08
0.800,1.2745E-08
1.060,1.2749E-07
1.500,2.6554E-07
2.000,7.4949E-07
