wl,n
0.3200,1.6427582674997
0.3401,1.6305340913549
0.3601,1.6212211983453
0.3802,1.6138207212634
0.4002,1.6078564004831
0.4203,1.6029080918281
0.4403,1.5987804331806
0.4604,1.5952575706887
0.4804,1.5922478886839
0.5005,1.5896258403456
0.5205,1.5873450785419
0.5406,1.5853261084264
0.5606,1.5835445850635
0.5807,1.5819469321892
0.6007,1.5805203184514
0.6208,1.5792268487088
0.6408,1.5780600389965
0.6609,1.5769920220356
0.6809,1.5760199448212
0.7010,1.5751226404738
0.7210,1.5742993862267
0.7411,1.57353365466
0.7611,1.5728259921455
0.7812,1.5721631797524
0.8012,1.5715465244075
0.8213,1.5709652255143
0.8413,1.5704210436618
0.8614,1.5699049832553
0.8814,1.5694190706097
0.9015,1.5689556815323
0.9215,1.5685169920453
0.9416,1.5680964358633
0.9616,1.5676962670496
0.9817,1.5673107460388
1.002,1.5669367390341
1.022,1.5665819407346
1.042,1.5662394686809
1.062,1.5659081967047
1.082,1.5655871052602
1.102,1.5652752693776
1.122,1.5649718481829
1.142,1.5646760757541
1.162,1.5643872531211
1.182,1.5641047412493
1.202,1.5638279548676
1.222,1.5635563570285
1.242,1.5632894543014
1.262,1.5630267925149
1.282,1.5627679529784
1.302,1.562512549122
1.323,1.562247681981
1.343,1.5619982327189
1.363,1.5617512090129
1.383,1.5615063268889
1.403,1.5612633222728
1.423,1.5610219492682
1.443,1.5607819786055
1.463,1.5605431962418
1.483,1.5603054020959
1.503,1.5600684089042
1.523,1.5598320411819
1.543,1.5595961342823
1.563,1.5593605335397
1.583,1.559125093491
1.603,1.5588896771654
1.623,1.5586541554362
1.643,1.5584184064294
1.663,1.5581823149818
1.683,1.5579457721454
1.703,1.5577086747328
1.724,1.5574590185957
1.744,1.5572204838385
1.764,1.5569811112003
1.784,1.5567408168925
1.804,1.5564995210949
1.824,1.5562571476809
1.844,1.5560136239635
1.864,1.5557688804602
1.884,1.5555228506754
1.904,1.5552754708994
1.924,1.5550266800215
1.944,1.5547764193566
1.964,1.5545246324845
1.984,1.5542712651004
2.004,1.5540162648751
2.024,1.5537595813262
2.044,1.5535011656966
2.064,1.5532409708424
2.084,1.5529789511271
2.104,1.552715062324
2.125,1.552435920541
2.145,1.5521680673088
2.165,1.5518982178774
2.185,1.5516263328473
2.205,1.5513523738203
2.225,1.5510763033333
2.245,1.5507980847959
2.265,1.5505176824315
2.285,1.5502350612229
2.305,1.5499501868599
2.325,1.5496630256904

wl,k
0.320,3.2787E-06
0.334,5.9762E-07
0.350,1.4242E-07
0.365,5.4712E-08
0.370,4.6852E-08
0.380,3.3108E-08
0.390,2.0023E-08
0.400,1.0227E-08
0.405,1.0355E-08
0.420,9.3912E-09
0.436,8.3521E-09
0.460,7.3395E-09
0.500,6.3790E-09
0.546,5.5181E-09
0.580,5.5469E-09
0.620,3.9510E-09
0.660,4.2059E-09
0.700,4.4608E-09
1.060,6.7549E-09
1.530,3.9118E-08
1.970,8.7327E-07
2.325,3.0751E-06
