wl,n
0.3100,1.6999835834306
0.3319,1.6905950955328
0.3538,1.68318325516
0.3757,1.6772092363164
0.3976,1.6723102598063
0.4195,1.6682334670905
0.4414,1.6647975135897
0.4633,1.6618691878979
0.4852,1.6593486132447
0.5071,1.6571595685302
0.5290,1.6552429776042
0.5509,1.6535524219372
0.5728,1.6520509813185
0.5947,1.650708967316
0.6166,1.6495022697449
0.6385,1.6484111320769
0.6604,1.6474192321276
0.6823,1.6465129833622
0.7042,1.6456809978706
0.7261,1.6449136693289
0.7480,1.6442028460516
0.7699,1.6435415724193
0.7918,1.6429238827127
0.8137,1.6423446354878
0.8356,1.6417993795796
0.8575,1.641284244978
0.8794,1.6407958534111
0.9013,1.6403312446493
0.9232,1.6398878154363
0.9451,1.6394632686208
0.9670,1.6390555705803
0.9889,1.6386629154199
1.011,1.638280288886
1.033,1.6379115186843
1.055,1.6375535412058
1.077,1.6372051873683
1.098,1.6368806777527
1.120,1.6365481915359
1.142,1.6362225079489
1.164,1.6359028464845
1.186,1.6355884984911
1.208,1.635278819195
1.230,1.6349732207375
1.252,1.6346711660795
1.274,1.6343721636531
1.296,1.6340757626563
1.317,1.6337948803088
1.339,1.6335023983149
1.361,1.6332113861749
1.383,1.6329215180151
1.405,1.632632492327
1.427,1.6323440296709
1.449,1.6320558706245
1.471,1.6317677739483
1.493,1.6314795149419
1.515,1.6311908839672
1.536,1.6309148454794
1.558,1.6306249333615
1.580,1.6303341056907
1.602,1.6300422005977
1.624,1.6297490658568
1.646,1.6294545580838
1.668,1.6291585420067
1.690,1.6288608898047
1.712,1.6285614805047
1.734,1.6282601994331
1.755,1.6279707667886
1.777,1.627665517798
1.799,1.627358090393
1.821,1.6270483903
1.843,1.6267363274474
1.865,1.6264218156415
1.887,1.6261047722682
1.909,1.625785118019
1.931,1.6254627766385
1.953,1.6251376746913
1.974,1.6248247098083
1.996,1.6244940099041
2.018,1.6241603469385
2.040,1.6238236566705
2.062,1.6234838767591
2.084,1.6231409466163
2.106,1.6227948072699
2.128,1.6224454012362
2.150,1.6220926724014
2.172,1.6217365659111
2.193,1.6213934458839
2.215,1.6210305835369
2.237,1.6206641878547
2.259,1.6202942080131
2.281,1.6199205939967
2.303,1.6195432965236
2.325,1.6191622669763
2.347,1.6187774573348
2.369,1.6183888201146
2.391,1.6179963083086
2.412,1.6176179807329
2.434,1.6172177617007
2.456,1.6168135314634
2.478,1.6164052443854
2.500,1.6159928550611

wl,k
0.310,3.8602E-06
0.320,2.3454E-06
0.334,1.1161E-06
0.350,4.7139E-07
0.365,2.0257E-07
0.370,1.5996E-07
0.380,1.0086E-07
0.390,6.3676E-08
0.400,4.6682E-08
0.405,4.1927E-08
0.420,3.6593E-08
0.436,3.5137E-08
0.460,2.9581E-08
0.500,1.9214E-08
0.546,1.2209E-08
0.580,1.2969E-08
0.620,1.7842E-08
0.660,1.6874E-08
0.700,1.3409E-08
1.060,2.0305E-08
1.530,1.0834E-07
1.970,6.6068E-07
2.325,3.5378E-06
2.500,7.9120E-06
