wl,n
0.3700,1.8937553148794
0.3913,1.8746851434533
0.4126,1.8599942919727
0.4339,1.8483219561791
0.4552,1.8388273750796
0.4765,1.8309593535173
0.4978,1.8243396717981
0.5191,1.8186992684622
0.5404,1.8138410604345
0.5617,1.8096171601112
0.5830,1.8059143210135
0.6043,1.802644310257
0.6256,1.7997373489008
0.6469,1.7971375276754
0.6682,1.7947995319205
0.6895,1.7926862563263
0.7108,1.7907670379427
0.7321,1.7890163272624
0.7534,1.7874126751584
0.7747,1.7859379511343
0.7960,1.7845767333805
0.8173,1.783315828072
0.8386,1.7821438870278
0.8599,1.7810511010277
0.8812,1.7800289518955
0.9025,1.7790700106393
0.9238,1.7781677719914
0.9451,1.7773165179371
0.9664,1.7765112044979
0.9877,1.7757473672945
1.009,1.7750210423706
1.030,1.7743382297566
1.052,1.7736550391641
1.073,1.7730307650804
1.094,1.7724312371955
1.116,1.7718273217023
1.137,1.7712718693537
1.158,1.7707351291892
1.179,1.770215484882
1.201,1.7696878323197
1.222,1.7691987502573
1.243,1.7687226776488
1.265,1.7682366770656
1.286,1.7677838722735
1.307,1.7673409667128
1.329,1.7668866558999
1.350,1.7664614225926
1.371,1.7660436841995
1.392,1.7656327723002
1.414,1.7652089421773
1.435,1.764810129684
1.456,1.7644163984169
1.478,1.7640088335465
1.499,1.7636240125783
1.520,1.7632428812927
1.542,1.7628471287533
1.563,1.7624723501642
1.584,1.7621001387872
1.605,1.7617301739647
1.627,1.7613446744347
1.648,1.7609783933148
1.669,1.7606135007429
1.691,1.7602324522716
1.712,1.7598696470251
1.733,1.7595075211042
1.755,1.7591286555644
1.776,1.7587672910088
1.797,1.7584060138222
1.818,1.7580446510823
1.840,1.7576658106476
1.861,1.757303771547
1.882,1.7569411744739
1.904,1.756560560895
1.925,1.7561963947186
1.946,1.7558312676872
1.968,1.7554475930702
1.989,1.7550801321991
2.010,1.7547113637975
2.031,1.7543411845174
2.053,1.7539517568453
2.074,1.7535783851472
2.095,1.7532033146873
2.117,1.7528084674942
2.138,1.7524296525437
2.159,1.7520488859497
2.181,1.7516478111049
2.202,1.7512628129414
2.223,1.7508756390304
2.244,1.7504862212285
2.266,1.7500757813996
2.287,1.7496815662668
2.308,1.7492849137415
2.330,1.7488666941551
2.351,1.7484648677761
2.372,1.7480604289724
2.394,1.7476338704184
2.415,1.7472239156909
2.436,1.7468111888237
2.457,1.7463956402938
2.479,1.7459572247847
2.500,1.7455357493648

wl,k
0.370,4.6074E-06
0.380,1.5837E-06
0.390,7.1979E-07
0.400,4.1826E-07
0.405,3.3694E-07
0.420,2.1727E-07
0.436,1.6173E-07
0.460,1.2687E-07
0.500,8.1636E-08
0.546,4.4002E-08
0.580,3.5415E-08
0.620,4.1885E-08
0.660,4.8884E-08
0.700,3.5939E-08
1.060,1.0137E-08
1.530,9.8390E-08
1.970,8.7327E-07
2.325,3.5378E-06
2.500,4.6140E-06
